number,Eval,kind_of_answer,outcome,Distribute,Distributed,Distribute_Distributed,cond,univ,type,typeMatsumoto,typeDistribute,typeDistributed,Order,typeQuatro,sex,age,ID,SVO,EC,PD,PT,FS,HL,EG
no142,4,Ega,unknown,1,3,4,4,t,13,Other,E,O,Opp_First,EO,m,24,t16,pro,4.142857,3.285714,4.285714,3.142857,5,5
no143,5,Ega,worst,1,1,2,2,t,11,E,E,E,Opp_First,EE,f,34,t17,pro,4,3.571429,3.285714,3.428571,10,5
no144,6,Ega,inequity,1,1,2,7,t,11,E,E,E,Opp_Second,EE,m,20,t18,ind,4.142857,2.857143,2.714286,3.428571,7,3
no145,4,Ega,unknown,2,2,4,8,t,22,E,E,E,Opp_Second,EE,m,22,t19,pro,4.142857,3.285714,3,2.714286,8,3
no146,5,Ega,best,2,3,5,5,t,23,Other,E,O,Opp_Second,EO,f,22,t20,ind,3.857143,3,3.142857,3.285714,5,1
no147,2,Ega,best,3,3,6,1,t,33,O,O,O,Opp_First,OO,m,21,t21,pro,3.571429,3,3,3.857143,6,5
no148,5,Ega,unknown,2,3,5,4,t,23,Other,E,O,Opp_First,EO,f,22,t22,pro,4.285714,4.142857,4,3.571429,6,2
no149,1,Ega,worst,1,3,4,6,t,13,Other,E,O,Opp_Second,EO,m,26,t24,pro,3.142857,4.285714,3.428571,3.714286,8,2
no150,4,Ega,worst,3,3,6,2,t,33,O,O,O,Opp_First,OO,f,24,t25,pro,4.142857,3,3.714286,3.857143,5,5
no151,5,Ega,inequity,2,2,4,3,t,22,E,E,E,Opp_First,EE,f,21,t29,pro,4.428571,3.428571,4,4.142857,7,2
no152,5,Ega,inequity,2,2,4,7,t,22,E,E,E,Opp_Second,EE,m,18,t30,ind,4.142857,3.714286,3.285714,3,5,3
no153,5,Ega,inequity,2,2,4,7,t,22,E,E,E,Opp_Second,EE,m,20,t31,ind,3.857143,3.571429,2.714286,3.571429,9,2
no154,5,Ega,unknown,2,2,4,4,t,22,E,E,E,Opp_First,EE,m,21,t42,ind,4,4.285714,3,3.428571,8,2
no155,2,Ega,unknown,4,4,8,8,t,44,O,O,O,Opp_Second,OO,f,21,t44,pro,4.428571,3.571429,3.428571,3.142857,3,5
no156,5,Ega,best,2,3,5,1,t,23,Other,E,O,Opp_First,EO,m,19,t45,pro,4.428571,4.428571,2.857143,3.142857,9,3
no157,3,Ega,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,m,22,t47,pro,4.428571,3.857143,3,4.142857,10,3
no158,4,Ega,inequity,1,2,3,3,t,12,E,E,E,Opp_First,EE,f,21,t48,pro,3.857143,4.142857,3.714286,3.571429,9,3
no159,4,Ega,best,1,1,2,5,t,11,E,E,E,Opp_Second,EE,f,22,t51,pro,4,3.857143,4.714286,4.285714,8,2
no160,2,Ega,worst,3,3,6,2,t,33,O,O,O,Opp_First,OO,m,21,t52,ind,4.285714,4,4.142857,3.714286,5,5
no161,5,Ega,unknown,2,2,4,4,t,22,E,E,E,Opp_First,EE,f,22,t53,pro,4,3.714286,3.428571,3.714286,8,1
no162,5,Ega,unknown,2,1,3,8,t,21,E,E,E,Opp_Second,EE,m,22,t55,ind,4.571429,3.571429,3.857143,3.714286,7,2
no163,5,Ega,best,3,3,6,1,t,33,O,O,O,Opp_First,OO,m,22,t56,pro,4.285714,2.857143,4,4,5,5
no164,5,Ega,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,m,21,t57,pro,4.428571,3.714286,4,3.571429,7,2
no165,4,Ega,unknown,3,1,4,4,t,31,Other,O,E,Opp_First,OE,m,18,t11,ind,4.285714,3.714286,3.714286,3.285714,10,1
no166,4,Ega,inequity,2,3,5,7,t,23,Other,E,O,Opp_Second,EO,m,25,t12,pro,3.571429,3.714286,3.857143,3,8,5
no167,2,Ega,best,2,3,5,1,t,23,Other,E,O,Opp_First,EO,m,25,t121,ind,3.714286,4,3.571429,3.285714,4,2
no168,4,Ega,unknown,1,1,2,8,t,11,E,E,E,Opp_Second,EE,m,23,t122,ind,3.142857,3.714286,3,2.285714,8,5
no169,4,Ega,best,2,2,4,5,t,22,E,E,E,Opp_Second,EE,m,21,t141,ind,3.571429,2.714286,3.428571,3,8,3
no170,5,Ega,worst,1,1,2,6,t,11,E,E,E,Opp_Second,EE,m,19,t142,pro,4.714286,3,3.571429,3.714286,8,2
no171,4,Ega,inequity,2,2,4,3,t,22,E,E,E,Opp_First,EE,m,22,t151,ind,4,3,3.857143,3.857143,10,2
no172,5,Ega,worst,2,2,4,2,t,22,E,E,E,Opp_First,EE,m,22,t152,pro,4.428571,4,3.714286,4.142857,6,2
no173,6,Ega,best,2,1,3,5,t,21,E,E,E,Opp_Second,EE,f,22,t211,ind,4.428571,4.285714,3.428571,4.428571,10,1
no174,5,Ega,worst,3,3,6,6,t,33,O,O,O,Opp_Second,OO,f,23,t212,pro,4.428571,4.142857,3.714286,3.571429,3,2
no175,6,Ega,inequity,4,4,8,7,t,44,O,O,O,Opp_Second,OO,f,24,t231,ind,4.714286,2.428571,3.142857,4.857143,5,4
no176,5,Ega,unknown,3,3,6,4,t,33,O,O,O,Opp_First,OO,f,21,t232,ind,4.857143,3.285714,4.428571,3.857143,7,3
no177,4,Ega,best,2,2,4,1,t,22,E,E,E,Opp_First,EE,f,21,t241,pro,4,3.142857,3.714286,4.428571,5,3
no178,6,Ega,inequity,1,1,2,3,t,11,E,E,E,Opp_First,EE,f,18,t242,pro,4,3.285714,3.857143,3.714286,,1
